State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,42510,32100,1893731,8,39990,36520,96538,11,92,15,17.1
Wyoming,46840,38710,248443,6,50950,47590,18889,4,35,2,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,68,13,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,77,15,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,376,55,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,81,12,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,28,8,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,12,3,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,5,0,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,171,35,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,29,4,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,76,13,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,30,6,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,171,39,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,137,14,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,74,13,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,92,9,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,95,16,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,109,29,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,18,0,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,92,20,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,162,40,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,92,15,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,124,15,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,71,9,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,38,10,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,174,30,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,28,0,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,50,6,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,22,5,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,101,20,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,41,9,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,54,5,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,272,71,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,164,23,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,92,18,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,72,9,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,163,39,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,9,0,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,96,25,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,31,11,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,122,28,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,545,133,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,44,11,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,153,24,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,10,4,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,78,14,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,105,12,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,47,6,11.3
Wyoming,46840,38710,248443,6,50950,47590,18889,4,34,3,11.3
